City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,75,AR,1537585200,100,-54.81,-68.31,32,19.46
Vila Franca do Campo,20,PT,1537588800,88,37.72,-25.43,73.4,8.05
Mahebourg,75,MU,1537585200,83,-20.41,57.7,71.6,13.87
Mataura,8,NZ,1537589733,71,-46.19,168.86,62.05,6.17
Sergeyevka,80,KZ,1537590270,100,53.88,67.42,51.52,7.96
Humaita,0,AR,1537585200,67,-24.93,-65.37,68,5.82
Joensuu,0,FI,1537588200,82,62.6,29.76,62.6,12.75
Saldanha,0,PT,1537590300,84,41.42,-6.55,51.34,2.59
Itarema,0,BR,1537590300,86,-2.92,-39.92,75.82,13.78
Sampit,0,ID,1537590301,76,-2.54,112.95,87.07,10.31
Castro,92,CL,1537590301,99,-42.48,-73.76,47.47,10.98
Vaini,88,IN,1537589746,100,15.34,74.49,71.14,3.83
Bluff,0,AU,1537589745,29,-23.58,149.07,79.87,10.54
Albany,90,US,1537588440,81,42.65,-73.75,69.98,16.11
Punta Arenas,40,CL,1537585200,69,-53.16,-70.91,33.8,12.75
Takoradi,76,GH,1537590304,99,4.89,-1.75,77.17,9.64
Simao,44,CN,1537590212,79,22.76,100.79,75.64,2.15
Dingle,76,PH,1537590305,92,11,122.67,81.31,2.93
Kapaa,40,US,1537588560,87,22.08,-159.32,82.94,11.41
Ponnani,20,IN,1537588800,74,10.77,75.93,84.2,4.7
Atuona,100,PF,1537589753,100,-9.8,-139.03,76.27,4.27
Avarua,40,CK,1537588800,60,-21.21,-159.78,75.2,10.29
Nabire,64,ID,1537590308,82,-3.36,135.5,77.8,2.59
Bredasdorp,92,ZA,1537585200,71,-34.53,20.04,53.6,2.24
Khatanga,44,RU,1537590309,98,71.98,102.47,40.18,11.99
Cherskiy,88,RU,1537590309,89,68.75,161.3,38.2,2.82
Busselton,0,AU,1537590310,96,-33.64,115.35,62.5,4.16
Tuatapere,12,NZ,1537590310,76,-46.13,167.69,57.64,13.89
Deep River,90,CA,1537588800,58,46.1,-77.49,57.2,23.04
Meulaboh,0,ID,1537590311,100,4.14,96.13,81.4,2.93
Yulara,0,AU,1537588800,27,-25.24,130.99,77,10.29
Yellowknife,20,CA,1537585200,100,62.45,-114.38,32,4.7
Bereda,40,ES,1537588800,100,43.27,-7.54,59,2.24
Los Llanos de Aridane,20,ES,1537588800,73,28.66,-17.92,73.4,11.41
Lebu,12,ET,1537589726,93,8.96,38.73,44.14,4.38
Ternate,40,PH,1537588800,74,14.29,120.72,87.8,4.7
Hobart,75,AU,1537588800,45,-42.88,147.33,62.6,17.22
Bathsheba,40,BB,1537588800,78,13.22,-59.52,80.6,12.75
Russell,0,AR,1537585200,63,-33.01,-68.8,62.6,3.36
Hermanus,24,ZA,1537590317,93,-34.42,19.24,33.61,2.04
Atambua,0,ID,1537590317,68,-9.11,124.89,86.8,3.38
Sitka,0,US,1537590318,61,37.17,-99.65,57.64,8.75
Slave Lake,1,CA,1537588800,69,55.28,-114.77,32,3.36
Bethel,75,US,1537589160,100,60.79,-161.76,50,16.11
Ahipara,92,NZ,1537590320,100,-35.17,173.16,56.47,14.67
Constitucion,24,MX,1537590320,87,23.99,-104.67,60.34,2.37
Souillac,0,FR,1537588800,93,45.6,-0.6,50,2.82
Rikitea,88,PF,1537589741,100,-23.12,-134.97,67.72,7.4
Lazaro Cardenas,20,MX,1537587720,64,28.39,-105.62,69.8,5.82
Karpathos,40,GR,1537588200,78,35.51,27.21,71.6,18.34
Bam,0,IR,1537590323,49,29.11,58.36,61.78,4.27
Lompoc,90,US,1537588560,89,34.64,-120.46,62.96,5.82
Severo-Kurilsk,24,RU,1537590324,93,50.68,156.12,51.16,15.79
Vostok,92,RU,1537590324,73,46.45,135.83,59.62,3.6
Longyearbyen,20,NO,1537584600,63,78.22,15.63,28.4,9.17
Kavieng,20,PG,1537590325,100,-2.57,150.8,86.08,4.05
Kodiak,1,US,1537588380,93,39.95,-94.76,55.04,6.93
Leningradskiy,64,RU,1537590326,92,69.38,178.42,43.42,7.85
Xam Nua,12,LA,1537590189,71,20.42,104.04,76.09,2.59
Narrabri,32,AU,1537590327,38,-30.33,149.78,72.76,7.74
New Norfolk,75,AU,1537588800,45,-42.78,147.06,62.6,17.22
Tuktoyaktuk,75,CA,1537585200,69,69.44,-133.03,37.4,5.82
Byron Bay,8,AU,1537588800,53,-28.65,153.62,71.6,17.22
Soyo,20,AO,1537590329,99,-6.13,12.37,69.79,2.93
Sungaipenuh,80,ID,1537590330,80,-2.08,101.38,73.3,1.92
Shakawe,0,BW,1537590330,40,-18.36,21.84,62.32,6.96
Dikson,80,RU,1537590331,92,73.51,80.55,40.9,15.23
Kimbe,0,PG,1537590331,96,-5.56,150.15,84.01,1.92
Port-Gentil,88,GA,1537590332,100,-0.72,8.78,76.27,10.54
Vestmannaeyjar,48,IS,1537590333,100,63.44,-20.27,41.62,14.34
Georgetown,0,GY,1537585200,94,6.8,-58.16,77,4.7
Bosaso,12,SO,1537590334,100,11.28,49.18,80.95,5.73
Betulia,75,CO,1537585200,93,6.11,-75.98,60.8,2.24
Fukue,40,JP,1537588140,54,35.03,136.69,84.2,13.87
Arraial do Cabo,32,BR,1537589737,100,-22.97,-42.02,70.24,7.96
Upernavik,32,GL,1537590336,100,72.79,-56.15,29.2,3.94
Ramona,1,US,1537588560,67,33.04,-116.87,69.98,3.36
Tadine,88,NC,1537590337,97,-21.55,167.88,71.14,20.27
Asosa,32,ET,1537590338,95,10.07,34.53,57.55,2.71
Placido de Castro,12,BR,1537590339,94,-10.34,-67.19,75.82,1.92
Falkensee,20,DE,1537588200,76,52.57,13.09,51.8,12.75
Rostock,75,DE,1537586400,81,54.09,12.13,50,11.41
Birobidzhan,92,RU,1537590341,58,48.79,132.93,59.26,5.61
Lengshuitan,36,CN,1537590341,63,26.41,111.6,79.87,5.73
Brae,92,GB,1537588200,81,60.4,-1.35,50,17.22
Sinnamary,8,GF,1537590284,95,5.38,-52.96,81.4,13.44
Masvingo,0,ZW,1537590150,78,-20.08,30.83,59.08,6.51
Sembakung,56,ID,1537590343,81,3.82,117.25,83.47,2.93
Koshurnikovo,12,RU,1537590344,60,54.3,93.39,50.53,3.15
Hilo,20,US,1537588380,79,19.71,-155.08,78.08,5.82
Malanje,0,AO,1537590345,95,-9.54,16.35,62.32,4.38
Palmer,20,AU,1537588800,52,-34.85,139.16,66.2,8.05
Tomatlan,80,MX,1537590346,98,19.93,-105.25,76.27,1.25
Mar del Plata,88,AR,1537590109,93,-46.43,-67.52,40.54,13.78
Provideniya,88,RU,1537590347,99,64.42,-173.23,44.68,27.54
Pevek,0,RU,1537590347,94,69.7,170.27,46.57,2.59
Husavik,92,CA,1537590348,99,50.56,-96.99,42.52,2.59
Puerto Madryn,92,AR,1537590348,86,-42.77,-65.04,52.87,6.73
Banda Aceh,8,ID,1537590349,70,5.56,95.32,85.45,4.61
Hithadhoo,64,MV,1537590349,100,-0.6,73.08,81.04,8.52
Gat,44,SN,1537590350,85,14.69,-16.54,81.31,9.19
Chachapoyas,0,PE,1537590351,84,-6.23,-77.87,53.77,1.03
Bouca,88,CF,1537590352,99,6.51,18.28,68.53,4.27
Tasiilaq,80,GL,1537588200,69,65.61,-37.64,35.6,16.11
Chipinge,0,ZW,1537590353,91,-20.19,32.62,60.88,2.71
Nikolskoye,0,RU,1537587000,82,59.7,30.79,60.8,13.42
Chokurdakh,88,RU,1537590354,100,70.62,147.9,38.38,4.38
San Cristobal,40,EC,1537585200,81,-0.39,-78.55,50,5.82
Garowe,0,SO,1537590355,48,8.41,48.48,78.88,11.54
Comodoro Rivadavia,90,AR,1537585200,87,-45.87,-67.48,42.8,14.99
Brunico,75,IT,1537588200,93,46.8,11.94,50,8.05
Road Town,1,VG,1537584780,76,18.42,-64.62,82.04,5.82
Yar-Sale,92,RU,1537590357,100,66.83,70.83,46.75,6.85
Kavaratti,32,IN,1537590233,100,10.57,72.64,80.14,11.1
Bambous Virieux,75,MU,1537588800,78,-20.34,57.76,73.4,13.87
Benghazi,0,LY,1537590358,100,32.12,20.07,77.8,9.53
Nadym,68,RU,1537590359,85,65.53,72.51,43.42,4.61
Kudahuvadhoo,64,MV,1537590359,100,2.67,72.89,78.7,3.04
Tokonou,12,GN,1537590360,95,9.65,-9.78,70.06,7.74
Monroe,1,US,1537589940,83,41.91,-83.4,62.96,10.29
Puerto Ayora,12,EC,1537590197,100,-0.74,-90.35,69.25,12.33
Cabo San Lucas,20,MX,1537588140,78,22.89,-109.91,80.6,2.24
Barrow,8,AR,1537590362,47,-38.31,-60.23,52.42,4.38
Cape Town,0,ZA,1537588800,76,-33.93,18.42,53.6,9.17
Tazovskiy,24,RU,1537590363,75,67.47,78.7,44.41,12.77
Akonolinga,88,CM,1537590364,98,3.77,12.24,69.34,2.37
Northam,92,GB,1537584600,87,51.04,-4.21,51.8,6.93
Rexburg,1,US,1537588560,41,43.82,-111.79,60.08,4.7
Bahia Honda,32,CU,1537590365,90,22.9,-83.16,78.61,5.17
Glendive,1,US,1537588560,71,47.11,-104.71,53.06,6.93
Alta Floresta,76,BR,1537590366,94,-9.87,-56.08,74.02,0.69
Lasa,20,CY,1537588800,68,34.92,32.53,73.4,9.17
Hamilton,40,BM,1537584900,83,32.3,-64.78,80.6,18.34
Qaanaaq,88,GL,1537590210,100,77.48,-69.36,19.75,14.34
Port Elizabeth,90,US,1537588500,84,39.31,-74.98,73.04,6.93
Zemio,0,CF,1537590369,90,5.02,25.13,69.79,2.48
Nyurba,76,RU,1537590369,62,63.29,118.35,47.11,8.63
Nekrasovka,20,RU,1537587000,45,48.35,135.23,64.4,4.47
Thompson,5,CA,1537588800,79,55.74,-97.86,23,4.7
Puerto Princesa,40,PH,1537588800,62,9.74,118.73,87.8,6.93
Balagansk,0,RU,1537590081,75,54.01,103.05,49.99,3.6
Oyama,75,JP,1537585200,73,36.31,139.8,77,4.7
Katsuura,75,JP,1537585200,88,33.93,134.5,77,6.93
Tura,92,IN,1537590373,91,25.52,90.21,79.42,3.15
Jamestown,0,AU,1537590373,37,-33.21,138.6,73.75,8.97
Port Lincoln,0,AU,1537590374,82,-34.72,135.86,64.48,3.04
Churapcha,36,RU,1537590374,52,62,132.43,44.05,7.63
Edd,0,ER,1537590207,41,13.93,41.69,67.63,1.7
Poltavka,92,RU,1537590376,99,54.36,71.76,50.8,5.28
Luderitz,8,NA,1537590376,82,-26.65,15.16,54.58,20.6
Kerchevskiy,92,RU,1537590377,96,59.95,56.29,46.66,2.71
Esperance,20,TT,1537588800,94,10.24,-61.45,77,3.36
Albanel,20,CA,1537588800,82,48.88,-72.44,60.8,17.22
Nizwa,0,OM,1537590378,45,22.93,57.53,70.42,2.59
Yatou,75,CM,1537588800,94,3.63,9.81,75.2,4.7
Fortuna,0,ES,1537588800,94,38.18,-1.13,84.2,2.24
Rafai,0,CF,1537590380,92,4.95,23.92,70.78,3.04
Pangnirtung,56,CA,1537590380,92,66.15,-65.72,29.02,4.94
Evanston,90,US,1537589700,58,42.04,-87.69,62.06,19.46
Lagoa,0,PT,1537588800,73,37.14,-8.45,75.2,4.7
Eyl,0,SO,1537590382,84,7.98,49.82,76.72,22.84
Abu Kamal,0,SY,1537590383,57,34.45,40.92,66.64,6.85
Denpasar,20,ID,1537588800,66,-8.65,115.22,86,11.41
Port Alfred,0,ZA,1537590384,100,-33.59,26.89,59.98,13.89
Hof,40,DE,1537588560,86,50.32,11.92,48.74,14.45
Torbay,40,CA,1537588800,86,47.66,-52.73,37.4,6.93
Vardo,1,US,1537588500,87,39.62,-77.74,73.94,6.93
Namibe,44,AO,1537590386,100,-15.19,12.15,66.1,5.84
Airai,0,TL,1537590387,28,-8.93,125.41,87.25,1.92
Burns Lake,88,CA,1537590387,80,54.23,-125.76,40.99,5.84
Saint George,0,GR,1537588200,72,39.45,22.34,60.8,5.82
Vondrozo,0,MG,1537590388,88,-22.82,47.32,51.07,0.47
Murgab,0,TM,1537585200,59,37.5,61.97,60.8,4.7
Carnarvon,0,ZA,1537590389,31,-30.97,22.13,31.27,3.49
Alice Springs,0,AU,1537588800,20,-23.7,133.88,77,9.17
Harnosand,88,SE,1537588200,81,62.63,17.94,51.8,21.92
Charters Towers,44,AU,1537590391,57,-20.07,146.27,77.08,11.43
Isangel,48,VU,1537590391,100,-19.55,169.27,72.22,14.23
Barcelos,0,PT,1537588800,100,41.53,-8.62,60.8,1.92
Kurmanayevka,0,RU,1537590392,80,52.51,52.07,39.19,2.93
Adeje,92,NG,1537590393,100,5.68,5.76,72.4,4.38
Hualmay,12,PE,1537590393,96,-11.1,-77.61,54.04,1.7
Hasaki,75,JP,1537587000,83,35.73,140.83,77,8.05
Lufilufi,75,WS,1537585200,70,-13.87,-171.6,86,17.22
Coihaique,90,CL,1537588380,100,-45.58,-72.07,39.2,3.36
Pontes e Lacerda,44,BR,1537590396,94,-15.23,-59.33,70.24,3.15
Harpalpur,92,IN,1537590396,91,25.29,79.33,76,16.91
Tual,48,ID,1537590397,98,-5.67,132.75,81.4,10.31
Kaitangata,0,NZ,1537590397,76,-46.28,169.85,60.16,2.26
Cayenne,0,GF,1537588800,100,4.94,-52.33,77,8.97
Cidreira,0,BR,1537590398,94,-30.17,-50.22,64.3,5.84
Kahului,40,US,1537589220,72,20.89,-156.47,82.94,10.29
Jasper,1,US,1537588560,100,33.83,-87.28,80.96,3.15
Leh,88,IN,1537590400,77,34.16,77.58,22.27,2.15
Kamyshla,8,RU,1537590401,83,54.11,52.14,39.28,2.59
Ormara,68,PK,1537590401,97,25.21,64.64,77.53,3.49
Ponta do Sol,12,BR,1537590402,91,-20.63,-46,58.45,2.71
Thinadhoo,64,MV,1537590402,100,0.53,72.93,81.31,2.59
Sao Filipe,0,CV,1537590403,95,14.9,-24.5,78.52,15.9
Yaan,80,NG,1537590403,96,7.38,8.57,74.29,5.39
Zyryanka,92,RU,1537590404,100,65.73,150.89,37.84,3.49
Pangai,40,TO,1537588800,88,-19.8,-174.35,77,11.41
Coquimbo,75,CL,1537585200,93,-29.95,-71.34,53.6,4.5
Butaritari,0,KI,1537590406,100,3.07,172.79,85.54,7.74
La Plata,0,AR,1537588800,88,-34.92,-57.95,64.4,6.93
Conde,100,BR,1537590407,91,-11.81,-37.61,75.28,7.74
Hearst,88,CA,1537590407,90,49.69,-83.67,40.9,10.09
Guarapari,40,BR,1537585200,83,-20.67,-40.5,75.2,8.05
Omaruru,0,NA,1537590408,36,-21.42,15.95,56.56,4.61
Komsomolskiy,88,RU,1537590409,96,67.55,63.78,46.39,10.2
Poronaysk,32,RU,1537590409,67,49.22,143.1,58.36,4.38
Aleksandrov Gay,0,RU,1537590410,84,50.14,48.57,48.46,4.72
Dakar,36,SN,1537588800,88,14.69,-17.45,82.4,9.17
Rio Grande,0,BR,1537590399,91,-32.03,-52.1,62.14,5.28
Spring Valley,75,US,1537588560,84,41.11,-74.04,71.96,9.17
Kondinskoye,76,RU,1537590216,90,59.65,67.41,49.54,5.17
Salamiyah,0,SY,1537590412,86,35.01,37.05,59.26,6.96
Padang,20,ID,1537590413,100,-0.92,100.36,83.47,0.25
Ous,88,RU,1537590413,86,60.91,61.52,47.11,4.72
Tromso,0,NO,1537584600,66,69.65,18.96,48.2,17.22
Barrhead,36,CA,1537590414,77,54.12,-114.4,28.66,6.73
Inhambane,92,MZ,1537590415,100,-23.87,35.38,72.22,6.06
Saint-Philippe,75,CA,1537588800,78,45.36,-73.48,71.6,27.51
Kruisfontein,36,ZA,1537590175,95,-34,24.73,57.91,16.35
Norman Wells,20,CA,1537588800,35,65.28,-126.83,41,5.82
Ancud,92,CL,1537590417,97,-41.87,-73.83,48.55,12.88
Kloulklubed,90,PW,1537588200,83,7.04,134.26,82.4,10.29
Turukhansk,32,RU,1537590418,86,65.8,87.96,46.21,14
Neuquen,0,AR,1537585200,34,-38.95,-68.06,66.2,9.17
East London,75,ZA,1537588800,71,-33.02,27.91,57.2,9.17
Whitehorse,5,CA,1537588800,42,60.72,-135.06,44.6,9.17
Sao Joao da Barra,92,BR,1537590420,100,-21.64,-41.05,70.6,3.04
Narsaq,76,GL,1537588200,80,60.91,-46.05,33.8,4.7
Vathi,20,GR,1537588200,88,35.36,23.6,64.4,5.95
Nantucket,1,US,1537589700,90,41.28,-70.1,69.98,14.99
San Policarpo,92,PH,1537590424,100,12.18,125.51,80.5,8.41
Osakarovka,88,KZ,1537590424,72,50.56,72.58,49,18.25
Bima,0,ID,1537590425,59,-8.45,118.73,87.52,3.71
Bilibino,56,RU,1537590426,71,68.06,166.44,47.47,0.92
Vorotynets,0,RU,1537590426,92,56.06,45.86,54.22,7.96
Pisco,90,PE,1537585200,87,-13.71,-76.2,60.8,8.05
Cap Malheureux,75,MU,1537588800,78,-19.98,57.61,73.4,13.87
Derzhavinsk,92,KZ,1537590428,98,51.1,66.31,51.97,13.44
Port Hardy,90,CA,1537588800,93,50.7,-127.42,51.8,3.36
Salalah,20,OM,1537584600,78,17.01,54.1,71.6,2.24
Buraydah,0,SA,1537585200,34,26.33,43.97,78.8,2.24
Jinji,8,CN,1537590431,77,22.16,112.49,86.17,1.36
El Cobre,20,CU,1537588200,83,20.05,-75.95,77,4.7
Borisovka,0,RU,1537587000,71,50.61,36.01,57.2,8.95
Kungurtug,0,RU,1537590433,46,50.6,97.53,44.41,3.27
Clyde River,90,CA,1537588800,100,70.47,-68.59,26.6,2.24
Shagonar,64,RU,1537590434,89,51.54,92.92,44.32,2.26
Lorengau,24,PG,1537590434,96,-2.02,147.27,85,7.96
Victoria,75,BN,1537588800,83,5.28,115.24,82.4,3.36
Saskylakh,92,RU,1537590435,98,71.97,114.09,41.8,14.56
Middelburg,20,ZA,1537590436,89,-25.77,29.46,47.65,2.82
Shenzhen,20,CN,1537588800,66,22.54,114.05,87.8,6.93
Nouadhibou,0,MR,1537585200,69,20.93,-17.03,75.2,17.22
Broome,32,GB,1537588560,87,52.47,1.45,50,10.29
Lithakia,20,GR,1537588200,82,37.72,20.83,66.2,3.94
Panzos,92,GT,1537590438,100,15.4,-89.67,74.11,1.81
Abrau-Dyurso,0,RU,1537587000,72,44.7,37.6,59,2.24
Harrisonburg,1,US,1537588500,96,38.45,-78.87,76.46,5.61
Channarayapatna,0,IN,1537588800,78,13.25,77.8,75.2,13.87
Kanye,8,BW,1537590440,76,-24.98,25.34,60.97,13.44
Karratha,0,AU,1537590441,12,-20.74,116.85,91.48,6.73
Nuuk,68,GL,1537588200,69,64.17,-51.74,35.6,6.93
Magistralnyy,0,RU,1537590442,60,56.17,107.45,47.92,4.38
Arlit,88,NE,1537590443,38,18.74,7.39,81.04,2.26
Vila Velha,75,BR,1537588800,78,-3.71,-38.6,78.8,13.87
Saint-Augustin,0,FR,1537588800,93,44.83,-0.61,53.6,2.24
Hofn,88,IS,1537590445,100,64.25,-15.21,44.32,19.48
Bartica,75,GY,1537588800,100,6.41,-58.62,75.2,4.7
Half Moon Bay,90,US,1537588560,93,37.46,-122.43,69.08,4.7
Laguna,0,MX,1537590448,80,27.52,-110.01,79.78,2.71
Ende,8,ID,1537590448,92,-8.84,121.65,82.93,6.62
Hobyo,80,SO,1537590449,91,5.35,48.53,75.73,19.6
Pangoa,8,PE,1537590449,92,-12.12,-73,64.84,2.26
Ribeira Grande,64,PT,1537590450,98,38.52,-28.7,74.47,21.5
Mut,0,TR,1537590450,61,36.64,33.44,47.02,2.04
Nevelsk,68,RU,1537587000,34,46.67,141.86,68,11.18
Show Low,1,US,1537588500,31,34.25,-110.03,71.06,8.05
Rocha,12,UY,1537590452,89,-34.48,-54.34,56.92,1.7
Kununurra,0,AU,1537588800,7,-15.77,128.74,98.6,11.41
Alofi,68,NU,1537588800,74,-19.06,-169.92,78.8,11.41
Monteagudo,88,BO,1537590453,98,-19.8,-63.96,61.87,2.37
Henties Bay,32,NA,1537590454,100,-22.12,14.28,54.04,4.61
Saint Anthony,1,US,1537588560,41,43.97,-111.68,60.08,4.7
Chuy,0,UY,1537590455,83,-33.69,-53.46,63.58,5.95
Lodwar,0,KE,1537590455,74,3.12,35.6,70.42,6.17
Hay River,5,CA,1537588800,54,60.82,-115.79,30.2,4.7
Goderich,92,CA,1537590456,86,43.74,-81.71,62.05,21.61
Baghdad,68,IQ,1537588800,34,33.3,44.38,80.6,8.05
Dong Hoi,0,VN,1537590457,91,17.48,106.6,84.46,6.29
Temryuk,0,RU,1537587000,72,45.28,37.39,59,2.24
Chunoyar,0,RU,1537590458,59,57.45,97.32,50.26,5.39
Petropavlovka,0,RU,1537590459,70,50.61,105.32,48.28,3.94
Syasstroy,8,RU,1537590459,77,60.14,32.56,63.22,10.2
Bulawayo,8,ZW,1537590460,75,-20.16,28.59,59.98,6.4
Ostrovnoy,80,RU,1537590165,85,68.05,39.51,44.5,14.45
Udachnyy,56,RU,1537590461,63,66.42,112.4,49.18,6.85
